scientific_name,Adult_svl_cm,Body_mass_g,Maturity_d,Max_longevity_d,Longevity_d,Litter_clutch_size,Trophic_level,Diel_activity,Habitat_breadth_IUCN
Acanthodactylus robustus,,10.67071509,,,,,Carnivore,Other,1
Acanthodactylus savignyi,,9.786186105,,,,5.000172675,,Other,3
Acanthodactylus schmidti,9.02,26.4,410.94,,,2.999853181,Omnivore,Other,1
Acanthodactylus schreiberi,7.023,18.275,,1369.6875,584.4,2.800270595,Carnivore,Other,2
Acanthodactylus scutellatus,7.5,10.6,228.3,2228.025,1059.225,2.7,Carnivore,Other,
Acanthodactylus senegalensis,,5.07912331,,,,,Carnivore,Other,
Acanthodactylus spinicauda,5.94,4.13047502,,1461,1004.4375,4.00036851,,Other,2
Acanthodactylus taghitensis,,3.908709386,,,,,,Other,2
Acanthodactylus tilburyi,,6.406047883,,,,,Carnivore,Other,1
Acanthodactylus tristrami,,19.61680138,,,,4.000184255,Carnivore,Other,2
Acanthodactylus yemenicus,,4.008954054,,,,,,Other,3
Acanthophis antarcticus,,252.3,783.24,3433.35,3396.825,13.7,Carnivore,Nocturl,7
Acanthophis hawkei,,391.5709386,,,,,,,
Acanthophis laevis,,317.4,288,2666.325,3396.825,14.75,Carnivore,Nocturl,12
Acanthophis praelongus,,106.9054879,,,,,,,3
Acanthophis pyrrhus,,109.9,288,1278.375,3396.825,18.9,Carnivore,Nocturl,3
Acanthophis rugosus,,73.8,288,5661.375,3396.825,19.5,,,11
Acanthophis wellsi,,52.26980945,,,,,,,
Acanthosaura armata,,68.19956245,,1296.6375,,14.5,Carnivore,Other,
Acanthosaura bintangensis,,99.30580242,,,,,,Other,
Acanthosaura brachypoda,,54.42513264,,,,,,Other,
Acanthosaura capra,,90.79102651,,,,19.499223,Carnivore,Other,
Acanthosaura cardamomensis,,116.1724307,,,,20.50108901,,Other,
Acanthosaura corota,,89.77143973,,,,,Carnivore,Other,
Acanthosaura crucigera,,95.786041,,2301.075,,13.99909627,Carnivore,Other,
Acanthosaura lepidogaster,,46.21905107,,,,13.24935119,Carnivore,Other,1
Acanthosaura taliae,,138.3283189,,,,12.99935119,Omnivore,Other,
Acanthosaura phuketensis,,,,,,,Carnivore,Other,
Acanthosaura titiwangsaensis,,117.9660318,,,,,,Other,
Achalinus ater,,64.62443075,,,,,,,
Achalinus formosanus,,27.18219634,,,,,,,
Achalinus hainus,,11.96994052,,,,,,,
Achalinus jinggangensis,,28.67088985,,,,,,,
Achalinus meiguensis,,26.38165693,,,,,,,
Achalinus rufescens,,27.18219634,,,,,,,
Achalinus spilis,,21.98929936,,,,,,,
Achalinus werneri,,44.07774318,,,,,,,
Acontias bicolor,,13.19128369,,,,,,,
Acontias breviceps,,12.01132217,,,,2.5,Carnivore,,
Acontias cregoi,,7.288899023,,,,,Carnivore,,4
Acontias fitzsimonsi,,14.08023762,,,,,Carnivore,,
Acontias gariepensis,12.358,5.357966575,974.08,,,1,Carnivore,Nocturl,
Acontias gracilicauda,,22.26654945,,,,2,,,7
Acontias jappi,,10.58408755,,,,4,,,
Acontias kgalagadi,13.345,10.16248693,974.08,,,1.75,Carnivore,Nocturl,
Acontias litoralis,,4.19879492,,,,1.5,Carnivore,,1
Acontias meleagris,19.545,29.78516429,,1333.1625,1424.475,3,Carnivore,Other,6
Acontias maquensis,,12.39398293,,,,2.5,,,2
Acontias occidentalis,,11.89251114,,,,,,,
Acontias orientalis,19.545,13,,1424.475,1424.475,,,,4
Acontias percivali,,21.68852052,,,,2,Carnivore,,2
Acontias plumbeus,,100.1652619,,,,8,Carnivore,Other,4
Acontias poecilus,,53.92553113,,,,,,,3
Acontias richardi,,4.804196742,,,,2,,,1
Acontias rieppeli,,10.18124346,,,,2,,,
Acontias schmitzi,,9.007855688,,,,,,,
Acontias tristis,,5.840291794,,,,2,Carnivore,,3
Acrantophis dumerili,,2052.337363,,10373.1,9496.5,8.5,Carnivore,Nocturl,7
Acrantophis madagascariensis,,11449.52724,,10391.3625,8729.475,4.25,Carnivore,Nocturl,4
Acratosaura mentalis,,4.683296902,,,,1.549963191,,Other,
Acratosaura spinosa,,3.290476466,,,,,,,
Acritoscincus duperreyi,6.241,4.365,913.2,2556.75,,5.3,Carnivore,Other,
Acritoscincus platynotus,,10.48564274,,,,5.4,Carnivore,Other,
Acritoscincus trilineatus,,7.47365987,,,,5.174957138,Carnivore,Other,
Acrochordus arafurae,,1694.4189,,3433.35,3214.2,15.475,Carnivore,Nocturl,11
Acrochordus granulatus,,300.7,,1826.25,,5.565,,Nocturl,13
Acrochordus javanicus,,2422.064523,,4711.725,2118.45,27,Carnivore,Nocturl,4
Actinemys marmorata,,1048.757831,,14116.9125,9971.325,4.8,,Other,
Acutotyphlops baorum,,20.09546406,,,,,,,
Acutotyphlops infralabialis,,30.28456714,,,,,,,
Acutotyphlops kunuaensis,,30.57460557,,,,,,,
Acutotyphlops solomonis,,61.09710125,,,,,,,
Acutotyphlops subocularis,,37.4,,,,,,,2
Adelophis copei,,5.880690823,,,,,,,
Adelophis foxi,,17.47911076,,,,,,,
Adelphicos daryi,,41.3023751,,,,,,,
Adelphicos ibarrorum,,32.29247061,,,,,,,
Adelphicos latifasciatum,,20.67690078,,,,,,,
Adelphicos nigrilatum,,22.39360569,,,,,,,
Adelphicos quadrivirgatum,,15.49408309,,,,3,,,2
Adelphicos veraepacis,,23.67959849,,,,,,,
Adercosaurus vixadnexus,,3.703403609,,,,,,,1
Adolfus africanus,,7.014552984,,,,,Carnivore,Other,
Adolfus alleni,,7.989973436,,,,2,Carnivore,Other,2
Adolfus jacksoni,,16.72471438,,,,3.5,Carnivore,Other,
Adolfus masavaensis,,4.008954054,,,,,Carnivore,Other,
Aelurogle cucullata,,9.702549836,,,,,,,
Aeluroscalabotes felinus,10.656,38.99419867,456.6,,,1.75,Carnivore,Nocturl,
Afroablepharus africanus,,1.889658408,,,,,,,
Afroablepharus duruarum,,1.616525974,,,,,,,
Afroablepharus maculicollis,3.631,1.6,,,,,,,
Afroablepharus seydeli,,0.923118581,,,,,,,
Afroablepharus wahlbergi,4.357,5.093308711,,,,4.5,,,
Afroedura amatolica,,4.677930468,,,,1.999930935,,,4
Afroedura bogerti,,2.805950415,,,,,,Nocturl,
Afroedura broadleyi,,3.82295891,,,,1.999930935,,Nocturl,
Afroedura gorongosa,,,,,,2,,,
Afroedura granitica,,4.21821483,,,,,,,
Afroedura haackei,,3.116642862,,,,,,,
Afroedura halli,,5.60523988,,,,1.999930935,Carnivore,Nocturl,3
Afroedura hawequensis,,11.40124894,,,,1.999930935,,Other,2
Afroedura karroica,,5.579521286,,,,1.999930935,Carnivore,Nocturl,2
Afroedura langi,,2.216786111,,,,1.999930935,,,
Afroedura leoloensis,,1.585181402,,,,1.999930935,,,
Afroedura loveridgei,,4.423156337,,,,2,Carnivore,,
Afroedura major,,8.916527419,,,,2,,Other,4
Afroedura maripi,,5.310541296,,,,1.999930935,,,
Afroedura marleyi,,1.117505408,,,,1.999930935,,,5
Afroedura multiporis,,6.304786722,,,,,,,
Afroedura maquensis,,3.82295891,0,1333.1625,,1.999930935,Carnivore,Other,
Afroedura nivaria,,6.076704374,,,,1.999930935,Carnivore,,3
Afroedura pieari,,3.301847705,,,,1.999930935,,Nocturl,
Afroedura pondolia,,4.21821483,,,,1.999930935,Carnivore,Other,
Afroedura pongola,,1.510273765,,,,,,,
Afroedura rondavelica,,3.677973958,,,,,,,
Afroedura rupestris,,5.096654355,,,,,,,
Afroedura tembulica,,4.018226965,,,,,,,3
Afroedura tirasensis,,3.677973958,,,,,,,
Afroedura transvaalica,,5.78163953,,584.4,,1.50003019,Carnivore,Nocturl,
Afroedura waterbergensis,,2.216786111,,,,,,,
Afrogecko ansorgii,,2.10188922,,,,,,Nocturl,
Afrogecko porphyreus,5,2.971666032,,,,1.500015095,Carnivore,Nocturl,5
Afrotrix anoscopus,,109.6739098,,,,,,,
Afrotyphlops angeli,,28.22439987,,,,,,,
Afrotyphlops angolensis,,251.5,,,,,,,
Afrotyphlops anomalus,,119.9249652,,,,,,,
Afrotyphlops bibronii,,79.99171275,,,,14,,,3
Afrotyphlops blanfordii,,22.41940962,,,,,,,
Afrotyphlops brevis,,433.5108784,,,,,,,
Afrotyphlops congestus,,433.5108784,,109.575,109.575,,,,
Afrotyphlops decorosus,,93.57028371,,,,,,,
Afrotyphlops elegans,,47.41209926,,,,,,,
Afrotyphlops forsinii,,2.087456759,,,,,,,
Afrotyphlops gierrai,,77.61235583,,,,,,,
Afrotyphlops kaimosae,,3.999723749,,,,,,,
Afrotyphlops liberiensis,,511.6818355,,109.575,109.575,,,,
Afrotyphlops lineolatus,,224.3881924,,,,,,,
Afrotyphlops manni,,26.79584162,,,,,,,
Afrotyphlops mucruso,,965.5,,,,60,,,
Afrotyphlops nus,,0.519755311,,,,,,,
Afrotyphlops nigrocandidus,,149.2397205,,,,,,,
Afrotyphlops obtusus,,30.28456714,,,,,,,
Afrotyphlops punctatus,,251.5,,109.575,109.575,,,,
Afrotyphlops rondoensis,,29.67415695,,,,,,,
Afrotyphlops schlegelii,,790.678628,,,,60,,,
Afrotyphlops schmidti,,182.3947851,,,,,,,
Afrotyphlops steinhausi,,199.6131157,,,,,,,
Afrotyphlops tanganicanus,,36.0578643,,,,,,,1
Afrotyphlops usambaricus,,182.3947851,,,,,,,
Agama aculeata,6.66,16.66147989,,5515.275,,12.775,Omnivore,Other,
Agama africa,11.232,79.45,487.04,2922,474.825,8,Omnivore,Other,5
Agama anchietae,,95.03023968,,,,11.00009264,Carnivore,Other,
Agama armata,6.66,27.6,,,,14.5,Omnivore,Other,
Agama atra,,95.03023968,,,,12.49971181,Omnivore,Other,9
Agama bocourti,,16.70545307,,,,,,,1
Agama boensis,11.232,17.4,547.905,474.825,474.825,7.549183813,,Other,1
Agama bottegi,,58.89218277,,,,,,,
Agama boueti,,44.93899274,,,,8.900182574,Omnivore,Other,4
Agama boulengeri,,95.03023968,,,,,,Other,3
Agama caudospinosa,12.2135,82.1,547.905,1990.6125,474.825,7.500334494,Omnivore,Other,5
Agama dodomae,11.232,100,547.905,1461,474.825,8.875,Carnivore,Other,
Agama doriae,11.232,51.6,547.905,474.825,474.825,7.549183813,,Other,
Agama etoshae,,11.221818,,767.025,,9.5,Carnivore,Other,
Agama finchi,,56.1523988,,,,,,Other,
Agama gracilimembris,,6.01279793,,,,,,Other,
Agama hartmanni,,19.66569699,,602.6625,438.3,,Carnivore,Other,
Agama hispida,6.66,82.9,,,,12,Carnivore,Other,5
Agama hulbertorum,,20.09546406,,,,,,Other,
Agama impalearis,11.8615,64.18,365.265,2191.5,2191.5,11.80048888,Carnivore,Other,5
Agama insularis,,63.56654659,,,,,,,3
Agama kaimosae,11.232,103.7,547.905,474.825,474.825,7.549183813,,Other,1
Agama kirkii,,51.56143223,,,,10,Carnivore,Other,
Agama knobeli,,44.93899274,,,,17.5,Carnivore,Other,
Agama lanzai,,36.07893215,,,,,,Other,
Agama lebretoni,,99.30580242,,,,,,Other,
Agama lucyae,,6.312059257,,,,5.000172675,,,
Agama monta,,43.24507205,,,,8.749834054,Carnivore,Other,4
Agama mucosoensis,,68.52441132,,,,,,,
Agama mwanzae,11.925,87.325,547.905,1661.8875,474.825,7.5,Omnivore,Other,5
Agama parafrica,,34.46749654,,,,,,Other,
Agama paragama,,44.93899274,,,,,Carnivore,Other,
Agama persimilis,,8.378015091,,,,,Carnivore,Other,
Agama robecchii,,88.86005589,,,,,,Other,
Agama rueppelli,7.25,27.65,,1168.8,,,Carnivore,Other,
Agama sankaranica,,20.19183182,,,,,,Other,
Agama somalica,,36.39575181,,,,,,Other,
Agama spinosa,11.232,68.54882265,547.905,474.825,474.825,7.549183813,Omnivore,Other,3
Agama sylva,,38.90225725,,,,6.000336769,Carnivore,Other,
Agama tassiliensis,,82.94253838,,,,,,Other,
Agama turuensis,11.4,95,547.905,474.825,474.825,7.500334494,,,3
Agama weidholzi,,8.785004106,,,,10,,Other,2
Agamodon anguliceps,,8.201757722,,,,,,,
Agamodon arabicus,,2.303373594,,,,,,,
Agamodon compressus,,1.182063015,,,,,,,
Agamura persica,6,9.268298234,,,,1.999930935,Carnivore,Nocturl,5
Agkistrodon bilineatus,,724.1644963,913.2,8875.575,8875.575,13,Carnivore,Nocturl,6
Agkistrodon contortrix,,950,958.635,10756.6125,9368.6625,6.325,Carnivore,Other,3
Agkistrodon howardgloydi,,462.5905107,,8875.575,8875.575,,,,
Agkistrodon piscivorus,,1700,996.49,8966.8875,7286.7375,7.5,Carnivore,Other,21
Agkistrodon russeolus,,600.9368687,,8875.575,8875.575,,,,
Agkistrodon taylori,,352.993519,913.2,7305,8875.575,5,Carnivore,Other,4
Ahaetulla dispar,,63.98674177,,,,,,,
Ahaetulla fasciolata,,444.6312675,,,,,,,1
Ahaetulla fronticincta,,111.4147267,,,,,,,
Ahaetulla mycterizans,,142.5607594,,876.6,876.6,,,,1
Ahaetulla suta,,681.3,,,,,,,
Ahaetulla perroteti,,30.69510994,,,,,,,
Ahaetulla prasi,,656.1452663,,,,,,,11
Ahaetulla pulverulenta,,471.1886632,,,,,,,
Ailuronyx seychellensis,9.413,28.7,,2264.55,,1.500015095,Omnivore,Nocturl,5
Ailuronyx tachyscopaeus,,12.18093,,,,1.500015095,Omnivore,Nocturl,4
Ailuronyx trachygaster,,85.3050057,,,,,Herbivore,Other,2
Aipysurus apraefrontalis,,73.79521151,,,,,,,3
Aipysurus duboisii,,106.9054879,,,,2,,,3
Aipysurus eydouxii,,252.3480772,,,,3.8,,,4
Aipysurus foliosquama,,73.79521151,,,,,,,1
Aipysurus fuscus,,73.79521151,,,,,,,2
Aipysurus laevis,,1339.676687,1369.6875,5478.75,5474.184375,2.6,,,9
Aipysurus mosaicus,,168.2337031,,,,,,,
Aipysurus tenuis,,264.7750069,,,,,,,2
Aldabrachelys gigantea,,117200,9131.25,65745,55518,11.88,,Other,
Alexandresaurus camacan,,8.21121325,,,,,,,
Algyroides fitzingeri,,2.183852052,,,,2.5,Carnivore,Other,8
Algyroides marchi,4.505,3.50375937,,,,2.499884851,Carnivore,Other,3
Algyroides moreoticus,4.5235,2.715,365.28,3360.3,,3.9,Carnivore,Other,3
Algyroides nigropunctatus,5.44,4.81828952,,840.075,,4.25,Carnivore,Other,8
Alinea berengerae,,21.68852052,,,,,Carnivore,Other,
Alinea lanceolata,,17.5,,,,7,,,
Alinea luciae,,28.4,,,,,,,
Alinea pergravis,9.977,15.81248039,,,,4.100152405,Carnivore,Other,3
Alligator mississippiensis,,160500,4492.5,31046.25,20454,50.6,,Other,
Alligator sinensis,,14600,2191.44,25567.5,22170.675,22.625,,Other,2
Alluaudi bellyi,,15.51193505,,,,,,,
Alluaudi mocquardi,,21.29069523,,,,,,,
Alopoglossus angulatus,5.349,6.1,,,,1.749930935,Carnivore,Other,2
Alopoglossus atriventris,5.3,3.706807218,,,,1.999930935,Carnivore,Other,
Alopoglossus buckleyi,4.5,5.584701947,,,,1.999930935,,Other,3
Alopoglossus copii,5.8,12.76438809,,,,1.999930935,Carnivore,Other,2
Alopoglossus embera,,,,,,,,,
Alopoglossus festae,,6.283069323,,,,,Carnivore,Other,2
Alopoglossus lehmanni,,0.703158777,,,,,,Other,
Alopoglossus viridiceps,,6.175884364,,,,,,Other,
Alsophis antiguae,,116.7404809,,,,,,,
Alsophis antillensis,,241.6230417,,,,,,,
Alsophis danforthi,,144.2057676,,,,,,,
Alsophis manselli,,248.3566553,,,,,,,
Alsophis rijgersmaei,,159.2104364,,,,,,,
Alsophis rufiventris,,235.031641,,,,,,,
Alsophis sajdaki,,315.5002312,,,,,,,
Alsophis sanctonum,,222.2654945,,,,,,,
Alsophis sibonius,,225.4119606,,,,,,,
Alsophylax pipiens,3.391,1.25860001,365.28,1278.375,,1.5,Carnivore,Nocturl,5
Alsophylax przewalskii,,1.098239098,,,,1.500015095,Carnivore,Nocturl,1
Alsophylax szczerbaki,2.79875,0.699511258,243.52,,,1.5,Carnivore,Nocturl,3
Alsophylax tadjikiensis,3.316,0.82,456.6,,,1.5,Carnivore,Nocturl,3
Altiphylax baturensis,,4.317554392,,,,1.999930935,Carnivore,Nocturl,
Altiphylax levitoni,3.791,2.094648065,,,,1.500015095,Carnivore,Nocturl,3
Altiphylax mintoni,,1.510273765,,,,,,Nocturl,
Altiphylax stoliczkai,,3.677973958,,,,,Carnivore,Nocturl,3
Altiphylax tokobajevi,4.08,2.717634363,913.2,,,1.549963191,Carnivore,Nocturl,1
Altiphylax yarkandensis,,2.918824826,,,,,,Nocturl,
Amalosia jacovae,,4.622576376,,,,1.999930935,Carnivore,Nocturl,
Amalosia lesueurii,6.421,5.457633323,,3195.9375,,1.999930935,Carnivore,Nocturl,4
Amalosia obscura,,4.715756295,,,,,Carnivore,Nocturl,1
Amalosia rhombifer,,10.31380703,,,,1.999930935,Carnivore,Nocturl,3
Amapasaurus tetradactylus,,0.500017267,,,,1.999930935,Carnivore,Other,1
Amastridium sapperi,,74.62243792,,,,,,,
Amblyodipsas concolor,,95.03023968,,,,,,,
Amblyodipsas dimidiata,,23.11032395,,,,,,,
Amblyodipsas katangensis,,11.72448777,,,,,,,
Amblyodipsas microphthalma,,6.595869476,,,,,,,
Amblyodipsas polylepis,,206.9570674,,,,,,,
Amblyodipsas rodhaini,,14.71156251,,,,,,,
Amblyodipsas teita,,14.27803797,,,,,,,
Amblyodipsas unicolor,,217.7709772,,,,,,,
Amblyodipsas ventrimaculata,,18.98352961,,,,,,,
Amblyrhynchus cristatus,42.6935,2227.43,1248.04,6282.3,2337.6,2.3,Herbivore,Other,4
Ameiva aggerecusans,,29.10358559,,,,,,Other,
Ameiva ameiva,12.5215,183.269,213.08,1698.4125,1680.15,5.25,Carnivore,Other,
Ameiva atrigularis,12.5215,218.7,243.52,1680.15,1680.15,4.6075,Carnivore,Other,9
Ameiva concolor,,63.97348355,,511.35,,1.875,Carnivore,Other,12
Ameiva desechensis,9.618,260.6,,,,2.7,Omnivore,Other,
Ameiva fuliginosa,,34.59696889,,,,,,Other,
Ameiva fuscata,13.521,513.6,,,,4.000184255,Omnivore,Other,
Ameiva jacuba,,35.62255667,,,,2.999926591,,,
Ameiva leberi,,,,,,,Carnivore,Other,
Ameiva nodam,,30.65981717,,,,,,Other,
Ameiva pantheri,,109.3478183,,,,,Carnivore,Other,
Ameiva parecis,,21.41445301,,,,1.569917214,Carnivore,Other,
Ameiva praesignis,12.5215,469.8941086,243.52,1680.15,1680.15,4.715,Carnivore,Other,10
Ameiva provitaae,,75.55461138,,,,,Carnivore,Other,
Ameiva reticulata,,102.969306,,,,,Carnivore,Other,
Ameivula abaetensis,,10.6952744,,,,1.399909627,,,
Ameivula abalosi,,10.50980937,,,,,,,
Ameivula apipensis,,,,,,,,Other,
Ameivula cipoensis,,10.38764208,,,,,Carnivore,Other,
Ameivula confusioniba,,12.67368174,,,,,,Other,
Ameivula cyanura,,15.99779014,,,,,,,
Ameivula jalapensis,,5.478789305,,,,1,Carnivore,Other,
Ameivula littoralis,,15.91104364,,1095.75,1059.225,5.2,,,
Ameivula mumbuca,,5.777199687,,,,1,Carnivore,Other,
Ameivula tivo,,9.597003158,,,,2.349942555,Carnivore,,
Ameivula nigrigula,,21.48915237,,,,,Carnivore,Other,
Ameivula ocellifera,6.8015,52.36004366,,,,2.499769702,Carnivore,Other,
Ameivula pyrrhogularis,,20.70070674,,,,,Carnivore,Other,
Ameivula venetacauda,,19.28762457,,,,,,,
Ameivula xacriaba,,9.892765473,,,,,,,
Amerotyphlops amoipira,,13.19128369,,,,,,,
Amerotyphlops arenensis,,5.391348913,,,,,,,
Amerotyphlops brongersmianus,,18.36538343,,,,,,,
Amerotyphlops costaricensis,,26.79584162,,,,,,,
Amerotyphlops lehneri,,2.298074324,,,,,,,
Amerotyphlops microstomus,,28.50509134,,,,,,,
Amerotyphlops minuisquamus,,27.1,,,,,,,
Amerotyphlops paucisquamus,,1.291165291,,,,,,,
Amerotyphlops reticulatus,,105.6817509,,,,10,,,7
Amerotyphlops stadelmani,,15.4262722,,,,,,,
Amerotyphlops tasymicris,,2.818959514,,,,,,,
Amerotyphlops tenuis,,18.58902228,,,,,,,
Amerotyphlops trinitatus,,5.998955381,,,,,,,
Amerotyphlops tycherus,,29.99581259,,,,,,,
Amerotyphlops yonegae,,0.222735446,,,,,,,
Amnesteophis melauchen,,14.01406852,,,,,,,
Amphibolurus burnsi,,84.90902375,,,,7.75,Carnivore,Other,
Amphibolurus centralis,,,,,,,Carnivore,Other,
Amphibolurus muricatus,,42.2722576,319.62,2008.875,,5.6,Carnivore,Other,4
Amphibolurus norrisi,,34.92995851,365.26,2556.75,,4.8,Omnivore,Other,2
Amphiesma stolatum,,135.8313447,,,,10,,,
Amphiesmoides orticeps,,159.5439574,,,,,,,
Amphiglossus alluaudi,,12.71751541,,,,,,,1
Amphiglossus andranovahensis,,0.499442244,,,,,,,1
Amphiglossus anosyensis,,5.378983288,,,,,,,1
Amphiglossus ardouini,,11.89251114,,,,,,,1
Amphiglossus astrolabi,,299.3632318,,,,10,Carnivore,Other,2
Amphiglossus crenni,,18.51765812,,,,,,,1
Amphiglossus decaryi,,1.404644399,,,,,,,2
Amphiglossus elongatus,,21.51390867,,,,,,,1
Amphiglossus frontoparietalis,,8.88578006,,,,2.999853181,,,1
Amphiglossus gastrostictus,,26.00079782,,,,,,,1
Amphiglossus johane,,22.93074324,,,,,,,3
Amphiglossus macrocercus,,29.30446623,,,,,,,3
Amphiglossus mandady,,1.687471438,,,,,,,1
Amphiglossus mandokava,,121.6593,,,,,,,3
Amphiglossus melanurus,,31.02279794,,,,6.000673539,,,1
Amphiglossus meva,,79.74973436,,,,,,,
Amphiglossus orticeps,,1.687471438,,,,,,,2
Amphiglossus punctatus,,7.799150553,,,,,,,1
Amphiglossus reticulatus,,274.6947077,,,,3,,Nocturl,4
Amphiglossus spilostichus,,11.10865864,,,,,,,1
Amphiglossus splendidus,,35.71364191,,,,,,,2
Amphiglossus stylus,,,,,,,,,
Amphiglossus tanysoma,,5.887446763,,,,,,,2
